name,category,price,image_url
Kadın Renkli 5 Li Ip Askılı Pedli Sporcu Sütyen Yarım Atlet,Kadın,400.02,https://cdn.dsmcdn.com/mnresize/400/-/ty1631/prod/QC/20250129/23/2b497779-585f-378e-b1ef-a5cff493eda7/1_org_zoom.jpg
Liora Kadın Parfüm Floral Edp 50 ml,Kadın,368.35,https://cdn.dsmcdn.com/mnresize/400/-/ty1770/prod/QC_ENRICHMENT/20251012/17/1fcf4275-74da-3aec-b2be-2d86d8315906/1_org_zoom.jpg
2’li Paket Kadın Mevsimlik Oversize Eşofman Altı Seti - Siyah & Gri Renk Seçeneği - Rahat Kalıp,Kadın,341.74,https://cdn.dsmcdn.com/mnresize/400/-/ty1916/prod/QC_PREP/20260502/10/2a0507f2-602d-35cf-b2c7-3aec9b2648a7/1_org_zoom.jpg
Kadın Belden Bağlamalı 2'li Şort,Kadın,445.4,https://cdn.dsmcdn.com/mnresize/400/-/ty1668/prod/QC/20250424/14/7b31c5bc-acb5-3955-88bd-f371c8a786bd/1_org_zoom.jpg
Kadın Kaşkorse Askılı Baby Overlook ve Fiyonk Detaylı Şort Takımı,Kadın,357.1,https://cdn.dsmcdn.com/mnresize/400/-/ty1831/prod/QC_PREP/20260225/11/18c69079-286a-3d1c-b5b7-0f5b3b231d56/1_org_zoom.jpg
KADIN TIRTIK,Kadın,597.19,https://cdn.dsmcdn.com/mnresize/400/-/ty1916/prod/QC_PREP/20260607/08/653c42e5-087a-3aeb-9ade-d1700245dfcf/1_org_zoom.jpg
Kadın Mango Bisiklet Yaka Tişört 50323529-VR244,Kadın,395.98,https://cdn.dsmcdn.com/mnresize/400/-/ty1927/prod/QC_PREP/20260520/13/cec2bdee-cfe3-3eb9-8ff7-6d8d862302c0/1_org_zoom.jpg
"Hacim ve Dolgunluk Veren Şampuan, Biberiye Yağı İçeren, 300 ml",Kadın,1035.5,https://cdn.dsmcdn.com/mnresize/400/-/ty1695/prod/QC_PREP/20250617/18/139be919-d1be-349d-8c6b-d8764334ad0d/1_org_zoom.jpg
"Onarıcı Şampuan, Kuru ve Hasar Görmüş Saçlar için, 5 Esansiyel Yağ İçeren, 300 ml",Kadın,1035.5,https://cdn.dsmcdn.com/mnresize/400/-/ty1476/product/media/images/prod/QC/20240812/03/bda07ea7-c309-3443-b5d1-319ad7bda64d/1_org_zoom.jpg
yeşil lale desenli Bürümcük-Krınkıl Kısa Kollu Düğmeli Biyeli Şortlu Pijama Takım 8008,Kadın,339.63,https://cdn.dsmcdn.com/mnresize/400/-/ty1857/prod/QC_PREP/20260422/11/73e94a76-10df-3799-8319-4dc06be335bc/1_org_zoom.jpg
Ekru Kaplan Desenli Yumuşak Tuşe Yazlık Fitilli Pamuklu Örme Pijama Takım 7994,Kadın,356.37,https://cdn.dsmcdn.com/mnresize/400/-/ty1850/prod/QC_PREP/20260403/11/a831a08d-9164-3093-a874-268c3c5301b6/1_org_zoom.jpg
sarı ekose kareli Nakışlı Düğmeli Biyeli İnce Soft Örme Şortlu Pijama Takımı 8022,Kadın,429.93,https://cdn.dsmcdn.com/mnresize/400/-/ty1900/prod/QC_PREP/20260504/16/6027e255-092f-3429-a6eb-995293646943/1_org_zoom.jpg
KADIN SATEN GRİ DANTELLİ SABAHLIK GECELİK TAKIM,Kadın,899.5,https://cdn.dsmcdn.com/mnresize/400/-/ty1788/prod/QC_ENRICHMENT/20251114/14/7e5d657f-8842-39d2-a2db-b5448d1a26a3/1_org_zoom.jpg
Kadın Kol Saati / Rlx Private Series,Kadın,622.0,https://cdn.dsmcdn.com/mnresize/400/-/ty1921/prod/QC_PREP/20260608/23/a53ff485-9de2-3769-9996-feced3eb65df/1_org_zoom.jpg
Istiridye Midye Hasır Omuz Çanta,Kadın,333.49,https://cdn.dsmcdn.com/mnresize/400/-/ty1754/prod/QC_ENRICHMENT/20250911/12/ad681d7b-2786-37a0-ae22-14bfd22f0d46/1_org_zoom.jpg
Kadın Siyah Basic Tişört 50323461-VR046,Kadın,503.98,https://cdn.dsmcdn.com/mnresize/400/-/ty1924/prod/QC_PREP/20260515/18/fb801be0-5487-3a42-affb-2f3af9a8805d/1_org_zoom.jpg
DÜĞMELİ PİJAMA TAKIM,Kadın,316.16,https://cdn.dsmcdn.com/mnresize/400/-/ty1859/prod/QC_ENRICHMENT/20260424/16/ad1a0037-2584-34eb-abf8-cd746125d7d3/1_org_zoom.jpg
Kadın Beyaz Basic Tişört 50323461-VR013,Kadın,503.98,https://cdn.dsmcdn.com/mnresize/400/-/ty1934/prod/QC_PREP/20260515/17/5721157e-3f3a-3df4-8b55-654e47b60003/1_org_zoom.jpg
Erkek Kısa Kollu Pamuklu Popcorn Desenli Şortlu Pijama Takımı,Kadın,519.92,https://cdn.dsmcdn.com/mnresize/400/-/ty1807/prod/QC_ENRICHMENT/20260107/11/a81fa055-7335-3b4e-a283-1ab4e40ad26c/1_org_zoom.jpg
Toparlayıcı Etkili Yüksek Bel Kadın Günlük Ve Spor Tayt,Kadın,174.81,https://cdn.dsmcdn.com/mnresize/400/-/ty1408/product/media/images/prod/QC/20240707/23/c233d76c-0914-3c70-ad41-ebbf63e88cd1/1_org_zoom.jpg
